id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews,header_image,short_description,price,date,copies_sold
1198490,All That Remains: Part 1,0,False,Glitch Games,0,1,3,4,https://cdn.akamai.steamstatic.com/steam/apps/1198490/header.jpg?t=1626095014,“Duncan Price is paranoid” they used to say. He’s just a “local nut” they said. They used to say a lot of things about him. Now they don’t say anything. Because they’re dead.,2.39,2021-04-16,120
1198510,Paperball,0,False,Cliax Games,8,130,4,134,https://cdn.akamai.steamstatic.com/steam/apps/1198510/header.jpg?t=1597432708,"It's time to get rolling! Navigate tricky passages, pull off crazy stunts and get ready to fall off a lot! Play carefully or risk it all for the fastest time - play any way you want in over 150 all unique stages.",9.99,2020-03-27,4020
1198550,Moderium,0,False,All Saints Gaming,0,1,0,1,https://cdn.akamai.steamstatic.com/steam/apps/1198550/header.jpg?t=1615494590,"Conquer waves of encroaching enemies in this Action RPG Brawler with a focus on Customization, Itemization and Decimation!",0.79,2020-01-07,30
1198600,Pizza Time Explosion,0,False,Electric Prune Juice,7,17,1,18,https://cdn.akamai.steamstatic.com/steam/apps/1198600/header.jpg?t=1600620214,Welcome to the Pizza Dimension!,4.99,2019-12-17,630
1198630,Customer Cums First!,0,False,Miel,7,8,2,10,https://cdn.akamai.steamstatic.com/steam/apps/1198630/header.jpg?t=1603082062,"It's just like any other shopping district in Japan except the windows are lined with sexy shopkeepers, trophy wives, ditzy married women, innocent newlyweds, and voluptuous vixens! These chicks make sure to keep their shops, and legs, open to their favorite customer!",9.99,2020-01-17,300
1198700,Chained: A Victorian Nightmare,0,False,MWM Interactive,6,12,4,16,https://cdn.akamai.steamstatic.com/steam/apps/1198700/header.jpg?t=1618925250,"Chained: A Victorian Nightmare is a haunting VR adaptation of Charles Dickens' classic tale, A Christmas Carol. Prepare to be transported into a bone-chilling journey of self-discovery.",3.99,2019-12-19,560
1198730,Hentai Police,0,False,Podval Games,8,105,22,127,https://cdn.akamai.steamstatic.com/steam/apps/1198730/header.jpg?t=1619400046,"Try on the role of the fearless riot police in a unique historically reliable bestseller! Cleanse streets from insults to the authorities, deport illegal immigrants, beat peaceful protesters and rise to the rank of Hero of the Motherland!",0.79,2020-01-17,3810
1198740,Colony Siege,0,False,Finifugal Games,8,72,6,78,https://cdn.akamai.steamstatic.com/steam/apps/1198740/header.jpg?t=1599760358,"Colony Siege combines the best of RTS and tower defense, including base building, mazing, and unit physics. Defend Earth's remaining colonies using an arsenal of deadly weapons to torch, slice, throw, and impale swarms of alien invaders.",12.49,2020-09-07,2340
1198810,Wolf and Pigs,0,False,Visual Light,0,5,1,6,https://cdn.akamai.steamstatic.com/steam/apps/1198810/header.jpg?t=1618386087,"Wolf &amp; Pigs: Out for Vengeance is a fresh take on the classic fable “The Three Little Pigs.” When the notorious Pig Brothers Gang invades the New World to build their compound, an unlikely protector vows to put an end to the Pigs greedy, nature-destroying ways!",16.79,2020-05-13,180
1198820,Monster Girl Garden,0,False,Noxious Games,5,9,5,14,https://cdn.akamai.steamstatic.com/steam/apps/1198820/header.jpg?t=1624978677,"Welcome to Monster Girl Garden, the interactive life simulation/ monster battling hentai game! You are granted a dejected piece of land in the forest to attract the the world's monster girls. Clear your land, upgrade your tools, craft new decorations, and more!",8.19,2020-01-17,420
1198210,Dogworld,0,False,Lateralis,8,55,1,56,https://cdn.akamai.steamstatic.com/steam/apps/1198210/header.jpg?t=1616090242,"Shoot, jump, and slide your way through a ruined, mysterious, dog-filled world as you fight to save humanity from the clutches of a rogue AI named Daddy.",12.49,2021-03-18,1680
1198220,Slave Girl Reno,0,False,Aphrodite,0,1,2,3,https://cdn.akamai.steamstatic.com/steam/apps/1198220/header.jpg?t=1576728795,"This is the story of a innocent, benign slave. She scrambles for freedom!",3.99,2019-12-12,105
1198240,Danger City,0,False,Hash Technology,0,2,2,4,https://cdn.akamai.steamstatic.com/steam/apps/1198240/header.jpg?t=1577186638,"The outbreak of an unknown virus infection has turned the city into a living hell, and people infected were turned into scary zombies. The player’s role is a survivor.He runs through streets, a hotel, over rooftops, kills zombies and cracks various puzzles.",9.99,2019-12-20,140
1198270,The Button Witch,0,False,DDreams Games,0,7,0,7,https://cdn.akamai.steamstatic.com/steam/apps/1198270/header.jpg?t=1609063592,"Adventure game full of magic, puzzles and cute characters, featuring a young witch-in-training and a talking ghost-squirrel!",12.49,2020-12-27,210
1198290,Space Block Buster,0,False,Reality MagiQ,7,14,0,14,https://cdn.akamai.steamstatic.com/steam/apps/1198290/header.jpg?t=1605168345,"Bring back your childhood memories of playing an old-school arcade game without a single worry in the world, but this time in VR! Utilize various buffs, power-ups, and rackets to clear the stages faster. Compete against players all over the world and get the highest score on the leaderboard!",8.19,2019-12-20,490
1198310,Mr.King Luo!Don't be kidding,0,False,艾斯貝洛,0,1,0,1,https://cdn.akamai.steamstatic.com/steam/apps/1198310/header.jpg?t=1598868598,"To return to the land of the living, I am willing to be the enemy of the entire netherworld! Due to a wrongful conviction, the protagonist has to appeal before the cremation of his physical body is done. But what awaits him at the end of this journey is another preposterous conspiracy...",3.29,2020-02-10,30
1198340,Summoner VR,0,False,Broadway Entertainment Group Interactive,0,1,0,1,https://cdn.akamai.steamstatic.com/steam/apps/1198340/header.jpg?t=1607509561,Through the turn-based battle Through collecting and synthesizing various units A game where you can collect other units. Turn-zero monsters and units 1: 1 to 1: 3 battles.,4.99,2019-12-23,35
1198380,COWBOY YAKUZA,0,False,Active Gaming Media Inc.,0,2,1,3,https://cdn.akamai.steamstatic.com/steam/apps/1198380/header.jpg?t=1596684763,"This is a throwback-style, story-driven 3D action game full of gangster intrigue and mad ass-kicking. 1980s Osaka: inhabited by the hardest Yakuza and the hottest, Eighties-est girls. After losing his livelihood, American expatriate Cleve finds himself embroiled in a Yakuza blood feud...",8.19,2020-02-17,90
1198390,Kawaii Girl,0,False,MoeGame,0,4,2,6,https://cdn.akamai.steamstatic.com/steam/apps/1198390/header.jpg?t=1598082162,"The Kawaii Girl is full of cute girls! Use beautiful girls to clear several dungeons Conquer the dungeon, have a fun.The difficulty of the game is a little high. Please buy carefully!",0.79,2020-04-25,180
1198400,Rhythm Fighter,0,False,echo games,7,14,0,14,https://cdn.akamai.steamstatic.com/steam/apps/1198400/header.jpg?t=1620290883,"This is a Roguelike Horizontal Action game that players need to follow the beat to defeat opponents. Beat to follow, fist to the bone. Face the foe, and dance to kill!",12.49,2020-05-27,420
1198440,The Burning Descent,0,False,RyseUp Studios,0,2,0,2,https://cdn.akamai.steamstatic.com/steam/apps/1198440/header.jpg?t=1596643526,The Burning Descent is a furious VR shooter in which up to 6 players battle each other in a quickfire deathmatch taking place in a colossal arena.,24.99,2020-04-30,60
1198450,The Secret Order 8: Return to the Buried Kingdom,0,False,Sunward Games,7,25,5,30,https://cdn.akamai.steamstatic.com/steam/apps/1198450/header.jpg?t=1586755762,"Get to the bottom of the unexplainable events in the Buried Kingdom and save all its inhabitants in this thrilling fantasy experience. The eighth part of the Secret Order series introduces new adventures, riddles, secrets, and a solid amount of fun!",14.99,2020-01-30,900
1197990,"Shoot, push, portals",0,False,CrewLab,7,11,1,12,https://cdn.akamai.steamstatic.com/steam/apps/1197990/header.jpg?t=1589681920,Casual physical puzzle!,0.79,2019-12-09,420
1198020,Braverz,0,False,Evil Noob Studios,0,0,1,1,https://cdn.akamai.steamstatic.com/steam/apps/1198020/header.jpg?t=1579025866,"Braverz is a co-op third person MOBA game that incorporates elements of tower defense and base building. Choose from a variety of champions, each with its unique play style and skills. Upgrade your base structures, weapons and skills while pushing back the invaders…are you Brave enough?",9.0,2020-01-14,30
1198040,Wide Ocean Big Jacket,0,False,Turnfollow,8,133,4,137,https://cdn.akamai.steamstatic.com/steam/apps/1198040/header.jpg?t=1588609028,"A Camping Story starring: Uncle Brad, Aunt Cloanne, Mord (and Ben)",6.59,2020-02-04,4110
1198050,War Remains: Dan Carlin Presents an Immersive Memory,0,False,Flight School Studio,6,55,17,72,https://cdn.akamai.steamstatic.com/steam/apps/1198050/header.jpg?t=1618925224,"This is not a game. This is history. Presented by Hardcore History® legendary podcaster Dan Carlin, War Remains is an immersive VR experience that transports viewers into the nightmarish hellscape of the Western Front of the First World War.",3.99,2020-05-21,2160
1198060,Christmas Stories: Enchanted Express Collector's Edition,0,False,Elephant Games,0,4,2,6,https://cdn.akamai.steamstatic.com/steam/apps/1198060/header.jpg?t=1575653413,Can you help the train’s passengers save their holidays in time?,8.19,2019-12-06,210
1198070,The Christmas Spirit: Grimm Tales Collector's Edition,0,False,Domini Games,0,8,0,8,https://cdn.akamai.steamstatic.com/steam/apps/1198070/header.jpg?t=1576257000,Who will save Fairytale land when Dame Gothel threatens to end Christmas forever?,8.19,2019-12-13,280
1198080,Westminster Darkly,0,False,Studio Incorrect,0,1,1,2,https://cdn.akamai.steamstatic.com/steam/apps/1198080/header.jpg?t=1611764681,"A unique turn-based strategy game set in modern time Westminster (UK), after a massive solar storm causes the end of the electric age.",3.29,2020-08-01,60
1198090,The Legend of Heroes: Trails of Cold Steel IV,0,False,Nihon Falcom,8,625,38,663,https://cdn.akamai.steamstatic.com/steam/apps/1198090/header.jpg?t=1625610405,The long awaited finale to the epic engulfing a continent comes to a head in the final chapter of the Trails of Cold Steel saga!,59.99,2021-04-09,19890
1198110,Fantasy Realm TD,0,False,Gyro-Games Inc.,0,2,1,3,https://cdn.akamai.steamstatic.com/steam/apps/1198110/header.jpg?t=1576486561,Try tower defense with many towers &amp; defense strategies! TD game from TD players,8.19,2019-12-11,105
1197520,Familia,0,False,Joseph Abraham,7,13,0,13,https://cdn.akamai.steamstatic.com/steam/apps/1197520/header.jpg?t=1616223987,Familia follows four protagonists through a journey to retake their homeland. The game’s style is highly influenced by 90s style Japanese role-playing games like Final Fantasy 1-6.,3.99,2019-12-01,455
1197530,Planet Modular TD,0,False,Gyro-Games Inc.,0,4,1,5,https://cdn.akamai.steamstatic.com/steam/apps/1197530/header.jpg?t=1576486502,Tower defense offline game with many defense strategies. Gem of TD games,8.19,2019-12-12,175
1197550,Ouction,0,False,Hurricane Dot Com,4,4,13,17,https://cdn.akamai.steamstatic.com/steam/apps/1197550/header.jpg?t=1587730187,"Complete pixel art animation product! Rear 10 elves in a confinement room. If you have sex with the elves and impregnate them, you can sell them for a high price at the auction. There are also birth scenes and pee spraying scenes.",6.59,2020-01-22,510
1197570,Until We Die,0,False,Pixeye Games,6,400,121,521,https://cdn.akamai.steamstatic.com/steam/apps/1197570/header.jpg?t=1627241068,"Until We Die is a side-scrolling strategy game about defending your base where you have to run around as Ivan, assign tasks to people, and fight mutants in the post-apocalyptic subway!",13.99,2021-06-03,15630
